Project Name,GroupID,Ground Truth,CRPWarner Prediction,Correct,Classification
HyperVerse Token (HVT),2,scam,True,True,Correct
Fintoch,3,scam,True,True,Correct
Flare Token,4,normal,True,False,False Positive
Safuu Protocol,5,scam,False,False,False Negative
SCT,6,scam,True,True,Correct
GMETA,7,scam,True,True,Correct
IPO,8,scam,True,True,Correct
IVY ,9,scam,True,True,Correct
FSL,10,scam,True,True,Correct
Fake SAGA Token,11,scam,False,False,False Negative
CryptoBike,12,scam,False,False,False Negative
IEGT Rugpull,13,scam,True,True,Correct
Ocean Ventures,14,scam,False,False,False Negative
USEA Token ,15,scam,True,True,Correct
Fake Layer Zero,16,scam,True,True,Correct
SAI token,17,scam,False,False,False Negative
ProTradeX,18,scam,True,True,Correct
fcdep (EPMAX),19,scam,False,False,False Negative
Apache NFT SalesRoom (ASN),20,scam,False,False,False Negative
XAI token ,21,normal,False,True,Correct
Changpeng Zhao (CZ),22,scam,False,False,False Negative
BGE (BGE),23,scam,True,True,Correct
Cesar Hard Fork,24,scam,True,True,Correct
Dollar(PancakeLPs),25,scam,False,False,False Negative
MetaFinanceDAO,26,scam,True,True,Correct
Linda Yaccarino,27,scam,False,False,False Negative
Do Right (DR),28,scam,True,True,Correct
GHOSTP2E (GHR),29,scam,True,True,Correct
OpenAI ATF (ATF),30,scam,True,True,Correct
DUO,31,scam,False,False,False Negative
HRN (HIGH RETURN),32,scam,True,True,Correct
Cake Lock (LOCK),33,scam,False,False,False Negative
LongNoseDog(LONG),34,scam,False,False,False Negative
Fake Ethena Labs,35,scam,False,False,False Negative
BJS (BJS),36,scam,True,True,Correct
Metaland DAO (META),37,scam,False,False,False Negative
culs (culs),38,scam,False,False,False Negative
LOO,39,scam,True,True,Correct
Vip Panda Community ,40,scam,False,False,False Negative
TTTT (TTTT),41,scam,False,False,False Negative
SuperStep (SGMT),42,scam,True,True,Correct
BNQ Token (BNQ),43,scam,True,True,Correct
BlockGPT (BGPT),44,scam,True,True,Correct
MALOU (NEVER),45,scam,False,False,False Negative
Satori (Satori),46,scam,True,True,Correct
Tetris (TTR),47,scam,False,False,False Negative
CIRCLE fake token,48,scam,True,True,Correct
MMFinance (MMF),49,scam,False,False,False Negative
Bep Finance,50,scam,False,False,False Negative
Santa Coin,51,scam,False,False,False Negative
Swello Token (SWLO),52,scam,False,False,False Negative
Defi Wz Token (DEFIWZ),53,scam,True,True,Correct
ARCHWAY (ARCH),54,scam,False,False,False Negative
ArenaPlay (APC),55,scam,False,False,False Negative
zkSync (TBD),56,normal,True,False,False Positive
Hex Trust Token,57,scam,True,True,Correct
Sui Network (SUI),58,normal,True,False,False Positive
DollarDoge (DollarDoge),59,scam,True,True,Correct
MOL (MOL),60,scam,False,False,False Negative
NwtToken (NWT),61,scam,True,True,Correct
RWP (Real Web Project),62,scam,True,True,Correct
Wettok Market (WTO),63,scam,True,True,Correct
DMCToken (DMC),64,scam,False,False,False Negative
Astronaut NFT (AST),65,scam,False,False,False Negative
Big finance (BIGFI),66,scam,False,False,False Negative
Meta Apes Shell (SHELL),67,scam,True,True,Correct
Shi DAO (ShiD),68,scam,False,False,False Negative
Web (WEB),69,scam,False,False,False Negative
Helio Protocol (HELIO),70,scam,True,True,Correct
DarkProtocol (DARK),71,scam,False,False,False Negative
aspiring cooperation Community (ACC),72,scam,True,True,Correct
IPMB token,73,scam,False,False,False Negative
APIG token,74,scam,False,False,False Negative
Big Time (BIGTIME),75,scam,False,False,False Negative
Chessfarm.Tech,76,scam,True,True,Correct
SOMESING (SSX),77,scam,False,False,False Negative
MarbleX (MBX),78,normal,False,True,Correct
L7 DEX (LSD7),79,scam,False,False,False Negative
Celestia (TIA),80,normal,False,True,Correct
Sport Move (SPORT),81,scam,True,True,Correct
BTDOG (BTDOG),82,scam,True,True,Correct
OBB (OBB),83,scam,False,False,False Negative
ADAF (ADAF),84,scam,True,True,Correct
Creso (CRE),85,scam,False,False,False Negative
Artificial intelligence robot (AIT),86,scam,True,True,Correct
LlamaCoin (LlamaCoin),87,scam,True,True,Correct
FlokiMoon (FlokiMoon),88,scam,True,True,Correct
CFL365 Finance (CFL365),89,scam,True,True,Correct
LooBr (LooBr),90,scam,False,False,False Negative
mCoin (MCOIN),91,scam,True,True,Correct
CommEX (CMX),92,scam,False,False,False Negative
Script (SCPT),93,scam,True,True,Correct
MoveCash (MCA),94,scam,True,True,Correct
BabyPepe,95,scam,False,False,False Negative
Elron Token (ELR),96,scam,True,True,Correct
Patex (PATEX),97,scam,True,True,Correct
RepubliK (RPK),98,scam,False,False,False Negative
PIPI (PIPI),99,scam,False,False,False Negative
PAPABEAR (PAPA),100,scam,False,False,False Negative
ACCToken,101,scam,True,True,Correct
FOMO DAO (FOMO),102,scam,False,False,False Negative
DeFido (DEFIDO),103,scam,False,False,False Negative
CBC Token (CBC),104,scam,False,False,False Negative
AISurf (AISC),105,scam,False,False,False Negative
FlokiChain (FC),106,scam,True,True,Correct
ETE Token (ETE),107,scam,True,True,Correct
GigaDAO (GIGS),108,scam,False,False,False Negative
To the Moon (TTM),109,scam,True,True,Correct
Mina Protocol (MINA),110,scam,False,False,False Negative
DigiFund (DFUND),111,scam,False,False,False Negative
Dor (DOR),112,scam,False,False,False Negative
Frontfanz (FANX),113,scam,True,True,Correct
Pepe (PEPE),114,normal,True,False,False Positive
CryptosTribe (CSTC),115,scam,True,True,Correct
GDAO (GDAO),116,scam,False,False,False Negative
Cashera (CSR),117,scam,False,False,False Negative
NFDAO (NFD),118,scam,True,True,Correct
iShares Bitcoin (IBTC),119,scam,False,False,False Negative
Galaxy Coin (GXY),120,scam,True,True,Correct
2049 (2049),121,scam,False,False,False Negative
ChainGPT (CGPT),122,scam,True,True,Correct
Finance (ARKEN),123,scam,True,True,Correct
Zodiac Credit-ZOC (ZOC),124,scam,True,True,Correct
Hepton (HTE),125,scam,True,True,Correct
GameFi (GAFI),126,scam,False,False,False Negative
TSUKA (TSUKA),127,scam,False,False,False Negative
DFuture Token (DFT),128,scam,False,False,False Negative
LightLink (LL),129,scam,True,True,Correct
ETXInfinity (ETX),130,scam,False,False,False Negative
YPT (YPT),131,scam,True,True,Correct
Carillonium finance (CAROM),132,scam,False,False,False Negative
Openfabric AI (OFN),133,scam,False,False,False Negative
TrustPad (TPAD),134,scam,False,False,False Negative
SQUID GAME (SQUIDGAME),135,scam,True,True,Correct
NodyToken (NODY),136,scam,False,False,False Negative
BNBpay (BNBpay),137,scam,True,True,Correct
GEMDAO (GemDAO),138,scam,True,True,Correct
BabyElon (BabyElon),139,scam,True,True,Correct
EI Risitas (KEK),140,scam,True,True,Correct
CROWN (CROWN),141,scam,False,False,False Negative
BAT (BAT),142,scam,True,True,Correct
Magic (Magic),143,scam,True,True,Correct
HunterDoge (HDOGE),144,scam,False,False,False Negative
MOON (MOON),145,scam,True,True,Correct
SLS (GSLS),146,scam,False,False,False Negative
Doge Twitter (DOGETWIT),147,scam,False,False,False Negative
Mango INU (MNGO),148,scam,False,False,False Negative
Block Chain Games,149,scam,False,False,False Negative
TheCatWorld (CWORLD),150,scam,False,False,False Negative
EDAO (EDAO),151,scam,True,True,Correct
Dracula (DRAC),152,scam,False,False,False Negative
Bitpaid (BTP),153,scam,True,True,Correct
ANT (ANT),154,scam,False,False,False Negative
OrbitSwap (ORBIT),155,scam,False,False,False Negative
Bitcoin BSC (BTCBSC),156,scam,True,True,Correct
CryptogerClub (CToger),157,scam,True,True,Correct
LGT (LGT),158,scam,True,True,Correct
Skate Metaverse Coin (SMC),159,scam,False,False,False Negative
iwr (IWR),160,scam,False,False,False Negative
Aki Inu (Aki),161,scam,False,False,False Negative
Loop X Network (LOOP),162,scam,False,False,False Negative
Minter (MINT),163,scam,True,True,Correct
SpaceID (ID),164,scam,False,False,False Negative
APPLE (APPLE),165,scam,True,True,Correct
DOXED (DOX),166,scam,False,False,False Negative
RETAWATCH (RTW),167,scam,False,False,False Negative
SPACE CAT (SCAT),168,scam,False,False,False Negative
DreamComeTrue (DCT),169,scam,True,True,Correct
VERIFY (VRFY),170,scam,False,False,False Negative
Zap Finance (ZAP),171,scam,False,False,False Negative
Peace doge X (Peace doge X),172,scam,True,True,Correct
Neoteric (NTRC),173,scam,False,False,False Negative
ROBOT SHIB (RSHIB),174,scam,False,False,False Negative
DUSD (DUSD),175,scam,True,True,Correct
GMT (GMT),176,scam,False,False,False Negative
Golden Token(GOLD),177,scam,True,True,Correct
PenginFinance Token (PENGIN),178,scam,True,True,Correct
TrollFace Defi (TROLL),179,scam,True,True,Correct
Stonks Token ($STONKS),180,scam,False,False,False Negative
AntiSocial Token (ANTI),181,scam,True,True,Correct
Dragonfly (DRAGONFLY),182,scam,False,False,False Negative
FormationFi (FFI),183,scam,True,True,Correct
Bunny Token (BUNNY),184,scam,True,True,Correct
BOGDANOFF (BOGDANOFF),185,scam,True,True,Correct
Starlink Token (Starlink),186,scam,True,True,Correct
DiamondHands (DiamondHands),187,scam,True,True,Correct
GABECOIN (GABECOIN),188,scam,True,True,Correct
Gitcoin (GTC),189,scam,True,True,Correct
Hypernova (HNOVA),190,scam,True,True,Correct
PiggyBank,191,scam,True,True,Correct
ASG Token (ASG),192,scam,True,True,Correct
TravelCake (TVL),193,scam,True,True,Correct
Moonwalk (MOONWALK),194,scam,True,True,Correct
Nabox (Nabox),195,scam,True,True,Correct
Little Mouse (MOUSE),196,scam,True,True,Correct
Karura (KAR),197,scam,True,True,Correct
Virus (VIRUS),198,scam,True,True,Correct
xDEF Finance (xDEF2),199,scam,True,True,Correct
Dolphin Token (DOLPHIN),200,scam,True,True,Correct
FreewayToken (FWT),201,scam,False,False,False Negative
OrdiZK (OZK),202,scam,False,False,False Negative
Safereum (SAFEREUM),203,scam,True,True,Correct
Chedda Token (CHEDDA),204,scam,True,True,Correct
LINEA copycat token,205,scam,True,True,Correct
Megabot,206,scam,True,True,Correct
Humanized_AI(HMT),207,scam,False,False,False Negative
WSB Coin (WSB),208,scam,True,True,Correct
Boost Coin (Boost),209,scam,True,True,Correct
TWEETY (TWEETY),210,scam,False,False,False Negative
Friend Tech (FT),211,scam,True,True,Correct
EigenLayer (EigenLayer),212,scam,False,False,False Negative
Polyhedra Network (ZK),213,scam,True,True,Correct
XSTABLE.PROTOCOL (XST),214,scam,False,False,False Negative
Smurfs (SMURFS),215,scam,False,False,False Negative
ether.fi (ETHFI),216,scam,False,False,False Negative
Worldcoin (WLD),217,scam,True,True,Correct
ROBIN HOOD (HOOD),218,scam,False,False,False Negative
Tommy VICE CITY (TOM),219,scam,False,False,False Negative
Hu Tao Spirit Soother (HUTAO),220,scam,False,False,False Negative
Scroll Network (Scroll),221,scam,True,True,Correct
Plankton (PLANK),222,scam,False,False,False Negative
Gandalf The Grey (GAN),223,scam,False,False,False Negative
PEPEHUB (PEHUB),224,scam,True,True,Correct
Hachiko token,225,scam,False,False,False Negative
Lifeform (LFT),226,scam,False,False,False Negative
G.O.A.T Token (G.O.A.T),227,scam,True,True,Correct
Gladiator  (GLA),228,scam,False,False,False Negative
Ore (ORE),229,scam,False,False,False Negative
Popeye the Sailor (POPEYE),230,scam,False,False,False Negative
DubaiCEO (DubaiCEO),231,scam,True,True,Correct
Reflex Staking Bot (REFLEX),232,scam,False,False,False Negative
STILTON MUSK (STILTON),233,scam,True,True,Correct
Elongate Deluxe (ELongD),234,scam,False,False,False Negative
Empower AI (EMPAI),235,scam,False,False,False Negative
Agent Smith (SMITH),236,scam,False,False,False Negative
